#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP
1,KOD,J. Cole,2018,142,78,83,-6,20,3.11,21,85
2,Nice For What,Drake,2018,93,91,57,-6,79,3.31,9,99
3,Walk It Talk It,Migos,2018,146,63,91,-5,41,4.36,7,91
4,JAPAN,Famous Dex,2018,176,68,73,-8,84,2.24,12,90
5,Look Alive (feat. Drake),BlocBoy JB,2018,140,58,92,-7,60,3.01,0,98
6,1942,G-Eazy,2018,163,65,82,-5,84,3.33,2,82
7,Plug Walk,Rich The Kid,2018,95,50,88,-7,18,2.56,22,86
8,Esskeetit,Lil Pump,2018,140,51,93,-8,70,3.02,2,86
9,Powerglide (feat. Juicy J),Rae Sremmurd,2018,174,83,71,-5,59,5.32,1,89
10,Ric Flair Drip (& Metro Boomin),Offset,2018,100,43,88,-8,33,2.53,15,93
11,Motiv8,J. Cole,2018,150,39,87,-8,60,2.14,14,83
12,SAD!,XXXTENTACION,2018,75,61,74,-5,47,2.47,26,85
13,Pineapple (feat. Gucci Mane & Quavo),Ty Dolla $ign,2018,130,56,96,-6,34,3.38,3,83
14,420 Freestyle,Wiz Khalifa,2018,145,65,92,-6,54,3.35,1,65
15,Creeping (feat. Rich the Kid),Lil Skies,2018,160,69,73,-8,68,3,1,80
16,God's Plan,Drake,2018,77,45,75,-9,34,3.19,2,97
17,Who Run It (Remix) [Feat. Lil Uzi Vert],G Herbo,2018,159,81,67,-6,61,4.23,4,70
18,ATM,J. Cole,2018,82,50,72,-8,35,3.37,12,83
19,Guatemala (feat. Slim Jxmmi),Swae Lee,2018,101,70,85,-5,8,4.16,19,81
20,Psycho (feat. Ty Dolla $ign),Post Malone,2018,140,56,74,-8,42,3.41,57,95
21,Aries (YuGo) Part 2 (with Rae Sremmurd & Big Sean feat. Quavo & Pharrell),Mike WiLL Made-It,2018,142,55,87,-5,27,4.33,13,81
22,Anybody (feat. Nicki Minaj),Young Thug,2018,120,47,90,-8,48,4.15,4,78
23,Chun-Li,Nicki Minaj,2018,97,77,64,-5,46,3.12,31,85
24,Bad Company,A$AP Rocky,2018,145,53,90,-8,34,3.04,7,83
25,A$AP Forever,A$AP Rocky,2018,126,78,47,-6,44,3.53,22,85
26,"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,2018,82,72,56,-5,43,3.5,0,87
27,Outside Today,YoungBoy Never Broke Again,2018,134,68,84,-6,15,2.09,26,84
28,Red Roses (feat. Landon Cube),Lil Skies,2018,140,68,69,-7,46,4.23,55,85
29,End Of Discussion (feat. Lil Wayne),Rich The Kid,2018,76,58,78,-7,34,3.57,18,79
30,Bounce Out With That,YBN Nahmir,2018,95,65,87,-8,37,1.37,4,87
31,123 (with Murda Beatz),Smokepurpp,2018,136,61,88,-5,38,2.5,20,81
32,Paramedic!,SOB X RBE,2018,97,65,86,-5,49,3.39,16,83
33,Chek,DJ Esco,2018,144,62,88,-6,35,3.23,20,73
34,We Don't Luv Em (Remix),HoodRich Pablo Juan,2018,140,62,90,-9,89,3.14,29,76
35,Maintain,Belly,2018,133,62,88,-5,22,3.36,33,76
36,Barbie Tingz,Nicki Minaj,2018,102,69,92,-6,44,3.12,8,85
37,Chanel (feat. Swae Lee & Pharrell),Slim Jxmmi,2018,125,71,98,-5,67,4.24,1,76
38,Bickenhead,Cardi B,2018,156,81,88,-5,91,3.02,15,84
39,Moonlight,XXXTENTACION,2018,128,54,92,-6,71,2.15,56,93
40,44 More,Logic,2018,140,57,82,-7,24,3.09,7,80
41,Rover 2.0,BlocBoy JB,2018,140,78,91,-5,81,4.36,19,81
42,B.I.D,Tory Lanez,2018,155,69,76,-6,54,2.44,10,77
43,PROUD,2 Chainz,2018,174,81,78,-4,91,3.55,74,77
44,66,Lil Yachty,2018,148,72,67,-4,25,2.33,5,86
45,Top Off,DJ Khaled,2018,87,59,57,-7,23,3.51,1,84
46,Suu Whoop,YG,2018,158,33,80,-10,23,3.05,3,75
47,Solitaire (feat. Migos & Lil Yachty),Gucci Mane,2018,138,54,81,-8,44,2.19,3,79
48,Don't Even Trip (feat. Moneybagg Yo),Tee Grizzley,2018,150,64,76,-6,31,4.16,0,76
49,Come Thru (with Mike WiLL Made-It feat. The Weeknd),Trouble,2018,77,66,74,-4,77,3.22,11,74
50,OKRA,"Tyler, The Creator",2018,136,57,59,-10,44,2.31,5,82
