TITLE,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP,ALBUM
Boarding Pass,2009,87,88,56,-5,46,2.47,0,43,Flight School
Ms. Rightfernow,2009,148,73,82,-8,84,3.49,27,37,Flight School
Shame,2009,80,81,45,-6,47,3.56,17,37,Flight School
Dreamer,2009,74,49,78,-10,25,4.15,6,38,Flight School
Get Sum,2009,142,83,75,-6,82,4.29,2,35,Flight School
Material,2009,130,68,50,-9,24,4.52,10,35,Flight School
Teach You To Fly,2009,123,76,74,-6,59,4.25,7,43,Flight School
I'm Good,2009,95,72,71,-8,34,4.34,5,39,Flight School
Wassup,2009,168,42,81,-14,77,3.14,19,38,Flight School
Kleenex (feat. Chevy Woods),2009,156,90,66,-9,42,9.27,1,35,Flight School
Never Ever,2009,77,80,62,-6,68,3.38,11,41,Flight School
Soulmate (feat. John Record),2009,106,81,78,-7,58,4.20,15,30,Flight School
Superstar,2009,160,81,50,-8,46,3.48,2,38,Flight School
Sky High,2009,90,78,65,-6,74,4.32,14,40,Flight School
Hollywood Hoes,2009,95,92,45,-6,33,4.17,4,44,Flight School
Extra Credit,2009,138,86,77,-8,25,5.25,0,36,Flight School
Extra Extra Credit,2009,140,78,79,-6,69,0.40,2,34,Flight School
Bout Ya’ll (feat. Josh Everette),2009,178,77,58,-6,58,3.35,8,34,Deal or No Deal
Chewy,2009,164,69,55,-6,20,4.35,8,43,Deal or No Deal
Friendly (feat. Curren$y),2009,166,85,58,-5,59,3.23,26,36,Deal or No Deal
Goodbye,2009,76,88,70,-5,53,5.33,12,45,Deal or No Deal
Hit Tha Flo,2009,144,95,79,-5,87,4.19,6,37,Deal or No Deal
Lose Control,2009,125,74,76,-4,87,3.48,3,36,Deal or No Deal
Moola and the Guap (feat. Lavish & L.C.),2009,99,87,39,-6,68,3.45,3,36,Deal or No Deal
Studio Lovin’,2009,136,63,69,-8,70,3.40,11,49,Deal or No Deal
Right Here (feat. Josh Everette),2009,115,73,65,-6,35,4.23,7,35,Deal or No Deal
Red Carpet (Like a Movie),2009,90,65,67,-5,57,3.19,20,41,Deal or No Deal
Superstar,2009,103,93,59,-6,41,4.16,0,40,Deal or No Deal
Take Away,2009,146,91,48,-5,46,3.23,2,35,Deal or No Deal
This Plane,2009,170,85,66,-6,71,4.18,10,57,Deal or No Deal
Who I Am,2009,75,77,47,-6,33,4.03,41,41,Deal or No Deal
Young Boy Talk,2009,150,89,58,-5,50,4.02,14,36,Deal or No Deal
Black And Yellow,2011,164,83,68,-5,54,3.21,6,75,Rolling Papers
When I'm Gone,2011,92,76,70,-7,30,3.31,50,61,Rolling Papers
On My Level - feat. Too $hort,2011,143,51,72,-7,21,2.33,15,66,Rolling Papers
Roll Up,2011,125,81,52,-5,60,4.54,5,66,Rolling Papers
Hopes & Dreams,2011,141,63,64,-7,58,0.54,14,54,Rolling Papers
Wake Up,2011,172,59,72,-7,68,3.20,43,56,Rolling Papers
The Race,2011,152,75,66,-6,57,1.42,87,58,Rolling Papers
Star Of The Show (feat. Chevy Woods),2011,82,85,50,-5,42,3.16,48,49,Rolling Papers
No Sleep,2011,160,71,65,-6,77,2.52,11,68,Rolling Papers
Get Your S**t,2011,140,77,70,-6,40,3.38,21,51,Rolling Papers
Top Floor,2011,78,72,56,-5,39,3.01,40,47,Rolling Papers
Fly Solo,2011,82,72,74,-5,92,4.09,44,55,Rolling Papers
Rooftops (feat. Curren$y),2011,87,63,69,-8,25,3.24,26,59,Rolling Papers
Cameras,2011,95,74,75,-6,57,3.26,23,54,Rolling Papers
"Young, Wild & Free (feat. Bruno Mars)",2011,95,65,55,-7,55,3.38,9,63,Single
Intro,2012,115,50,70,-10,69,2.11,25,26,ONIFC
Paperbond,2012,150,67,65,-5,24,3.39,20,41,ONIFC
Bluffin - feat. Berner,2012,130,72,83,-5,31,2.36,2,36,ONIFC
Let It Go - feat. Akon,2012,141,90,57,-4,51,3.47,38,36,ONIFC
The Bluff - feat. Cam'Ron,2012,146,61,71,-5,23,3.10,23,33,ONIFC
"Work Hard, Play Hard",2012,140,65,80,-5,48,4.11,5,44,ONIFC
Got Everything - feat. Courtney Noelle,2012,94,87,58,-4,49,2.35,23,30,ONIFC
Fall Asleep,2012,78,80,59,-5,63,4.25,84,29,ONIFC
Time,2012,75,68,64,-7,75,4.55,7,33,ONIFC
It's Nothin - feat. 2 Chainz,2012,138,75,83,-6,49,3.35,7,36,ONIFC
"Rise Above - feat. Pharrell, Tuki Carter & Amber Rose",2012,85,84,66,-5,39,3.35,68,29,ONIFC
Initiation - feat. Lola Monroe,2012,150,70,82,-7,74,3.29,14,31,ONIFC
Up In It,2012,131,83,79,-6,48,4.50,4,36,ONIFC
No Limit,2012,112,87,43,-6,12,4.09,11,30,ONIFC
The Plan - feat. Juicy J,2012,120,71,40,-5,37,3.59,29,39,ONIFC
Remember You - feat. The Weeknd,2012,128,77,72,-4,78,3.23,19,41,ONIFC
Medicated - feat. Chevy Woods & Juicy J,2012,136,87,75,-4,96,3.45,1,46,ONIFC
Hope (feat. Ty Dolla $ign),2014,130,75,74,-7,35,4.03,10,28,Blacc Hollywood
We Dem Boyz,2014,130,87,70,-5,38,3.14,1,40,Blacc Hollywood
Promises,2014,141,59,60,-6,25,4.05,3,40,Blacc Hollywood
KK (feat. Project Pat & Juicy J),2014,150,81,70,-3,21,4.01,7,37,Blacc Hollywood
House In The Hills (feat. Curren$y),2014,168,58,62,-7,21,3.42,22,31,Blacc Hollywood
Ass Drop,2014,178,58,82,-5,28,4.34,1,34,Blacc Hollywood
Raw,2014,136,64,72,-6,23,4.27,0,30,Blacc Hollywood
Stayin Out All Night,2014,150,54,53,-7,75,5.31,11,35,Blacc Hollywood
The Sleaze,2014,120,57,73,-7,14,3.46,1,31,Blacc Hollywood
So High (feat. Ghost Loft),2014,158,65,62,-5,27,4.10,11,41,Blacc Hollywood
Still Down (feat. Chevy Woods & Ty Dolla $ign),2014,79,65,62,-6,52,4.13,5,29,Blacc Hollywood
No Gain,2014,120,75,76,-5,37,3.15,21,30,Blacc Hollywood
True Colors (feat. Nicki Minaj),2014,125,74,81,-6,52,3.24,1,32,Blacc Hollywood
So High (feat. Ghost Loft),2014,158,63,63,-5,30,3.09,12,71,Blacc Hollywood
We Dem Boyz,2014,130,86,72,-5,52,3.09,1,71,Blacc Hollywood
Ass Drop,2014,178,58,82,-5,30,2.47,1,70,Blacc Hollywood
See You Again (feat. Charlie Puth),2015,80,48,69,-8,28,3.50,37,80,Khalifa
BTS,2016,75,71,68,-5,33,4.15,23,49,Khalifa
Celebrate (feat. Rico Love),2016,125,68,79,-6,50,3.56,10,57,Khalifa
Elevated,2016,138,81,73,-6,17,4.22,15,55,Khalifa
City View (feat. Courtney Noelle),2016,140,66,73,-5,49,4.22,5,49,Khalifa
Cowboy,2016,154,59,79,-4,51,5.00,13,56,Khalifa
Bake Sale (feat. Travis Scott),2016,140,52,86,-6,36,6.51,20,60,Khalifa
Call Waiting,2016,89,60,73,-6,64,4.37,11,50,Khalifa
Make A Play (J.R. Donato),2016,119,60,59,-4,23,3.20,8,46,Khalifa
Most Of Us,2016,115,55,92,-5,19,4.00,6,56,Khalifa
Zoney (feat. Sebastian),2016,166,58,47,-8,37,3.32,42,50,Khalifa
Lit (feat. Ty Dolla $ign),2016,113,63,62,-6,27,4.13,21,58,Khalifa
No Permission (feat. Chevy Woods),2016,108,84,78,-4,43,4.20,15,53,Khalifa
iSay (feat. Juicy J),2016,75,73,66,-5,51,4.46,27,54,Khalifa
"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",2016,169,79,50,-4,74,4.03,26,82,Laugh Now Fly Later
Something New (feat. Ty Dolla $ign),2017,88,64,81,-7,78,4.09,9,75,Laugh Now Fly Later
Letterman,2017,135,67,93,-7,22,3.45,1,71,Laugh Now Fly Later
Royal Highness (feat. Casey Veggies),2017,120,71,90,-6,84,3.11,6,57,Laugh Now Fly Later
Letterman,2017,135,67,93,-7,22,4.32,1,71,Laugh Now Fly Later
Figure It Out,2017,146,70,71,-7,41,3.48,3,56,Laugh Now Fly Later
Plane 4 U,2017,118,51,76,-8,38,3.27,35,60,Laugh Now Fly Later
No Dirt,2017,136,69,82,-8,32,4.09,5,55,Laugh Now Fly Later
Long Way To Go,2017,79,82,61,-6,81,4.41,8,53,Laugh Now Fly Later
Global Access,2017,81,56,86,-7,55,3.59,1,56,Laugh Now Fly Later
City Of Steel,2017,108,57,84,-6,80,3.52,31,53,Laugh Now Fly Later
Weed Farm,2017,139,52,83,-7,30,4.20,1,56,Laugh Now Fly Later
Stay Focused,2017,87,76,78,-7,50,5.36,37,51,Laugh Now Fly Later
